sect,T_mixed_sect,mean,sd,n,SE
C,0,4.173913043478261,4.417446546603011,23,0.9211012782933753
C,1,3.130434782608696,3.533017610872493,23,0.7366850969844041
S,0,2.8333333333333335,2.4257077258017903,24,0.495145516111783
S,1,4.166666666666667,3.1714304366472796,24,0.6473655270431573
Sh,0,4.958333333333333,3.2634892858473705,24,0.6661569609471611
Sh,1,5.458333333333333,2.9188914909999455,24,0.595816230625122
