"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"delta_alpha",-0.580560716841619,1.19479897496715,-2.90780074195408,-1.35202779202482,-0.619799030186809,0.178913374977707,1.9592917184635,1.00592952712595,750
"deviance",176.412210188127,9.63957688271856,158.828050557077,169.641211434802,175.848572025919,182.681560517177,196.841920245821,1.00171742872805,2400
"mu_alpha",3.07757242915377,0.581929088226511,1.88925292492138,2.68785720965281,3.09583485047629,3.48327566375964,4.16896643941984,1.00652545271197,440
"sigma_alpha_m",2.41436935759437,1.36885323849793,0.218879736821778,1.42831054192581,2.26383089257092,3.22904483638479,5.54732521448356,1.05887386652733,120
"sigma_alpha_s",1.02358704443198,0.768941745775395,0.0751225498549314,0.456222396089556,0.858056978475562,1.38378521088988,3.04413493295688,1.03166992345478,230
