"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",102.875061396826,6.25088902849478,92.0200773113638,98.4412572534411,102.359168373575,106.774554835209,116.180932282565,1.00364501080351,720
"mu_alpha",5.48693870717157,0.916594147617063,3.78620619350011,4.87071452526313,5.42521025741957,5.99520085933459,7.40118421775429,1.01067916953285,270
"sigma_alpha",1.42254060245259,1.27629135099961,0.0324417592344712,0.403948408433457,1.07402750716176,2.07176301852761,4.68325170835118,1.03378147857246,7400
