"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",96.4746146687754,7.69802608590956,82.7324377817812,90.9475560972432,96.0827515622445,101.423338472562,112.753510176819,1.0010196823972,12000
"mu_alpha",4.81758555334326,1.43438451215525,2.4578566556509,3.88591688823732,4.63565216104158,5.49895169635625,8.63908196645137,1.01559568239612,410
"mu_rho",0.802070521023552,0.132078723150595,0.502953844663873,0.719480006041053,0.814221440413036,0.914993539225709,0.993084625691711,1.03402765886705,240
"sigma_alpha",1.66784139049618,0.874123254405173,0.243750327035283,1.00536950672576,1.60630419982508,2.26032113879574,3.4927227175803,1.00154120769799,3000
"sigma_rho",51.6271692082561,28.6630964018565,4.00515166008507,27.1437410804251,51.9566544458317,76.6950241153913,97.7542119903713,1.00747348363232,350
