"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",101.425228090561,6.47617463805318,90.3150933983653,96.8255461228866,100.954686279688,105.481701729526,115.52074906029,1.00251552158142,1200
"mu_alpha",4.85438369344899,0.910770138897189,3.03455152110188,4.30610220816641,4.84688760547454,5.39912898180599,6.80408220890663,1.00612720954517,540
"sigma_alpha",1.78702448047242,1.33988959929451,0.0721414896322174,0.757059330240036,1.51853945386119,2.53757914942,5.03216567611057,1.01260086801651,190
