"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",83.6370119489106,6.23624149454033,72.8894233746494,79.2058904831044,83.1068261976294,87.5873883911401,97.0861169836784,1.00385370894403,670
"mu_alpha",2.74507058603816,0.628187994255433,1.50316622911487,2.32945966231535,2.74065267634822,3.17451790682976,3.9642760326751,1.03165639598637,72
"sigma_alpha",1.09411943190736,0.750690443329213,0.128092331176758,0.54120349851248,0.923080424348523,1.47794931756351,3.00573022383128,1.01305751951536,240
