"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",87.322054649302,8.58698921548323,72.4187000704038,81.2640643999466,86.5455265042558,92.888001100086,105.671931808163,1.00125907093091,5200
"mu_alpha",3.5759011992341,1.73005538151752,1.26091610870277,2.49001303878879,3.22343964899005,4.09156369896289,8.67758665035679,1.07776672104248,38
"mu_rho",0.834521555948779,0.147074777131827,0.406887190569312,0.793123114500076,0.875463474343373,0.934165902405093,0.992124234227917,1.21656602543217,27
"sigma_alpha",2.32073908391426,0.810223040591237,0.388396679127058,1.84828967934001,2.35037987174403,2.85456319073254,3.84359363653984,1.23927946837065,24
"sigma_rho",41.6026383600072,30.768155824409,2.17755144739926,11.8127103702121,38.4092527240904,68.1692469146828,96.9795699149673,1.11347719120622,25
