"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",83.1340716297026,7.81121044434489,70.0072031012823,77.534997589325,82.4952570177983,87.9435549413771,100.5398966539,1.00089567490945,12000
"mu_alpha",2.51757796387137,0.964666300116501,0.772907321575144,1.82001371051862,2.48061757338765,3.18016895198917,4.47920971433546,1.00097589960582,12000
"sigma_alpha",3.44382423013531,1.1831247110881,1.44060981521006,2.60007139326813,3.31783529026126,4.15925625359443,6.09273024800616,1.01048755238742,1300
