"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",86.9872603272916,6.26821774637895,75.7889975828377,82.5182035361371,86.693752352831,90.9902319856807,100.191982473874,1.01634215068449,130
"mu_alpha",5.21692523612392,1.73159845897917,2.62385317268361,3.92148021907924,4.90312029800089,6.21802763953846,9.29809604840445,1.15258146501332,18
"mu_rho",0.562704908809878,0.166508153229252,0.283653780305427,0.43869146698027,0.548503084833334,0.677554278993372,0.903770024415011,1.18648545696864,15
"sigma_alpha",1.34858840702252,0.719723721186788,0.226836451094594,0.797903397820607,1.25576416459653,1.81569150135664,2.96396274257443,1.00516431367153,640
"sigma_rho",49.2500276404586,28.5532693074035,5.56426330403928,23.4364492821758,48.2083368799587,74.1701677875911,97.4295444085583,1.01037314854548,340
