"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",76.0821437176164,7.34334511009113,63.9014463967725,70.8303815508667,75.3683569769774,80.5809277706204,92.5144546481199,1.00103254370973,12000
"mu_alpha",2.04646703109118,0.782872992422321,0.600035940229946,1.49779040444256,2.02555628278223,2.56450980558079,3.64154541401012,1.00109482779203,9000
"sigma_alpha",2.55137231743251,1.1260321792875,0.738919914264709,1.75286977895961,2.38160176665711,3.18394779368071,5.22607510457685,1.00166232310708,12000
