"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"delta_alpha",-0.574018596290749,1.24791520685666,-3.01408167519538,-1.40236130476756,-0.540356127747438,0.254046575481628,1.90707987238038,1.02353928362966,92
"deviance",204.102036421786,8.94474982924851,188.052205434223,197.863410987437,203.534447622359,209.917233623509,223.056755886095,1.00308823346327,910
"mu_alpha",5.08091308239348,0.593560216364764,3.88417431028936,4.682671108136,5.07793104956493,5.46778709265445,6.26630169652424,1.00632664084212,1600
"sigma_alpha_m",1.61550005186747,1.1627437600444,0.0992836435108425,0.652622284622262,1.41209593129429,2.32640952913329,4.34732343166448,1.04460495342212,150
"sigma_alpha_s",1.57867413003262,1.27621866914675,0.0739157193035165,0.551890455237704,1.30166607751012,2.28630092637612,4.74756070759927,1.05655663578573,49
