"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"delta_alpha",0.531092650866033,1.72481804244654,-2.85208036560655,-0.56444558952395,0.492771182068921,1.60297311253603,4.12694717287382,1.00390842667184,660
"deviance",157.914359425182,10.7822086223262,139.092486604509,150.326712316859,157.108532000985,164.757074464349,181.18546844848,1.00096830994585,12000
"mu_alpha",1.9610687714021,0.745487376108378,0.570139652779453,1.43330393773344,1.94735138993908,2.45571010411062,3.46413761983024,1.00458298541419,990
"sigma_alpha_m",2.63177587488235,1.20187775701736,0.412659888801291,1.81415515758566,2.49848838955092,3.37262541236964,5.27022548801939,1.01733261458949,450
"sigma_alpha_s",3.56872877455372,1.15645709770718,1.71517801518896,2.72010001663246,3.43468198414732,4.27840419301037,6.14688846646028,1.00105739180969,11000
